date	notional	res	net_res
2004-01-01	-22023.57001301657	51612.2738782653	29588.70386524873
2004-04-01	-16656.19862214642	49804.8313139008	33148.63269175438
2004-07-01	-14175.061380389001	49496.1948918858	35321.1335114968
2004-10-01	-14445.168965419682	52934.8651856722	38489.69622025252
2005-01-01	-2360.7071607606326	61959.5572745932	59598.85011383257
2005-04-01	-2353.041555930905	59884.7132779485	57531.67172201759
2005-07-01	-2441.1369768742693	57008.0373587933	54566.90038191903
2005-10-01	6342.249067578075	53799.2849766775	60141.534044255575
2006-01-01	18288.998867648683	59824.48002089	78113.47888853868
2006-04-01	17404.77606550848	62670.4642137568	80075.24027926527
2006-07-01	15654.730073843259	73392.9305628392	89047.66063668246
2006-10-01	12262.528376613658	85838.8644070751	98101.39278368876
2007-01-01	12348.541175595006	109531.360235306	121879.901410901
2007-04-01	22031.068743655906	147101.027287164	169132.0960308199
2007-07-01	21657.427909233782	162962.204112525	184619.6320217588
2007-10-01	22361.144247349403	180333.611053352	202694.75530070142
2008-01-01	22617.220457240866	195231.614874251	217848.8353314919
2008-04-01	22468.383200012566	200827.063144124	223295.44634413655
2008-07-01	20893.66495742569	206494.011114334	227387.6760717597
2008-10-01	-11873.568007787762	193783.374153114	181909.80614532623
2009-01-01	-10998.11732416206	190387.841764093	179389.72443993093
2009-04-01	-366.45959537302724	201467.41354485	201100.95394947697
2009-07-01	0	221628.713021428	221628.713021428
2009-10-01	0	238539.460825222	238539.460825222
2010-01-01	0	243762.497769193	243762.497769193
2010-04-01	0	253113.543060745	253113.543060745
2010-07-01	0	275205.523066367	275205.523066367
2011-01-01	9761.673900085958	317145.591553336	326907.265453422
2011-04-01	9532.632663243867	335770.358013195	345302.99067643884
2011-07-01	5676.825716495901	349704.847696539	355381.67341303494
2011-10-01	1607.9617899029747	352010.222755872	353618.184545775
2012-01-01	3098.843499050546	365214.108270421	368312.9517694715
2012-04-01	-4577.373143521496	373909.450687293	369332.07754377153
2012-07-01	3894.4478510686495	378724.851683827	382619.29953489563
2012-10-01	-2057.3402287252266	373146.934550876	371089.59432215075
2013-01-01	0	376939.399586555	376939.399586555
2013-04-01	-18249.910754648852	369401.583487237	351151.67273258814
2013-07-01	-52460.298159748876	368652.832159212	316192.5339994631
2013-10-01	-74883.44160663792	358806.484351798	283923.0427451601
2014-01-01	-87325.77034449845	363912.79905033	276587.02870583156
2014-04-01	-90117.14269673552	373515.006133593	283397.8634368575
2014-07-01	-96625.17445187269	375512.90979011	278887.7353382373
2014-10-01	-107280.73601696407	363550.349859241	256269.61384227691
2015-01-01	-111666.02005993143	362743.972293641	251077.95223370957
2015-04-01	-108598.60937799588	368668.029437098	260069.42005910212
2015-07-01	-102350.67269586699	361370.18190972	259019.50921385302
2015-10-01	-109293.69046380864	356463.468006328	247169.77754251932
2016-01-01	-103511.79079296972	357697.818844677	254186.02805170728
2016-04-01	-60821.137183086175	364151.671095934	303330.5339128478
2016-07-01	-33115.04511806728	370416.947969881	337301.9028518137
2016-10-01	-26235.590707894815	365014.759996939	338779.16928904416
2017-01-01	-22084.739618766565	370108.42179856	348023.6821797934
2017-04-01	-27719.103825856964	377170.559846752	349451.456020895
2017-07-01	-27424.564526089016	381239.876479341	353815.311953252
2017-10-01	-23679.835097823463	373966.335956873	350286.50085904956
2018-01-01	-23417.772170211803	379570.338800307	356152.5666300952
2018-04-01	-66988.78308244463	379492.086274491	312503.30319204635
2018-07-01	-68713.9253539549	380728.885706456	312014.96035250113
2018-10-01	-67079.85380043098	374714.763035404	307634.909234973
2019-01-01	-66827.27707192497	384164.830100505	317337.55302858003
2019-04-01	-67666.0826941548	388092.455393043	320426.3726988882
