date	equalization	operational
2008-06-01	-1.544892318192891	0.10941367122915038
2008-12-01	5.512117857236685	0.32711566208162823
2009-06-01	-2.9419527854352263	-0.029536464021623077
2009-12-01	-1.6180899631729526	0.1965366806044957
2010-06-01	-0.05253153756357389	0.29976591875915853
2010-12-01	-1.2001642885064698	0.1267876733180694
2011-06-01	-1.11094738945572	0.29410997611305967
2011-12-01	2.061978570426439	0.2568492421365411
2012-06-01	0.702395633519845	0.27256574017319973
2012-12-01	-0.2056300833271025	0.25535827330957306
2013-06-01	0.3111990162113419	0.3491269207257492
2013-12-01	0.29857592975041913	0.2676074753278507
2014-06-01	-0.9187030534017634	0.09454519295315074
2014-12-01	1.1277730066328624	0.4439450537147473
2015-06-01	0.7855296122751529	0.5955742001154462
2015-12-01	1.8502673960899545	0.692511908778614
2016-06-01	-3.018764857139307	-0.2829696719805225
2016-12-01	-0.8880422750253296	0.12410240778597004
2017-06-01	-0.24469613057887846	0.17517745563900428
2017-12-01	-0.46598644240086196	0.22344106369446778
2018-06-01	2.1746487533454797	0.292359412203735
2018-12-01	-0.2777373915583316	0.37093448663621764
