period	notional	competence	reserves	gross_profits	carrying	net_profits	realized	equalization	operational	total_res	cost_rate_annual	d_er
2008-01	0.8	-0.2	11.3	-0.9	0.4	-1.4	-0.6	-1.5	0.1	-1.4	-7.7	-10.1
2008-02	-0.4	0.3	12.8	5.9	0.7	5.2	-0.3	5.5	0.3	5.8	-10.5	46.8
2009-01	-0	0.1	13.7	-2.5	0.5	-3	-0.5	-2.9	-0	-3	-7.3	-16.5
2009-02	0	-0	12.1	-1.2	0.4	-1.6	-0.4	-1.6	0.2	-1.4	-6.6	-10.8
2010-01	0	0	12.2	0.4	0.4	-0.1	-0.4	-0.1	0.3	0.2	-7.1	3.5
2010-02	0	0	12.1	-0.7	0.5	-1.2	-0.5	-1.2	0.1	-1.1	-7.9	-7.5
2011-01	0.2	-0	12.5	-0.5	0.6	-1.1	-0.6	-1.1	0.3	-0.8	-8.8	-6.3
2011-02	0	0.1	13.7	2.6	0.6	2	-0.6	2.1	0.3	2.3	-8.6	20.2
2012-01	-0.1	0	14.8	1.3	0.6	0.7	-0.6	0.7	0.3	1	-8.1	7.8
2012-02	-0	0	16	0.3	0.6	-0.2	-0.6	-0.2	0.3	0	-6.8	1.1
2013-01	-0.4	-0	15.1	0.9	0.5	0.3	-0.5	0.3	0.3	0.7	-6.9	8.4
2013-02	-1.4	-0	16	1	0.6	0.3	-0.7	0.3	0.3	0.6	-7.8	5.7
2014-01	-3.6	0.4	15.5	-0.8	0.5	-1.3	-0.1	-0.9	0.1	-0.8	-6.1	-6
2014-02	-4.9	-0.5	15.7	2.6	1	1.7	-1.5	1.1	0.4	1.6	-11.9	20.6
2015-01	-5.7	-0.6	18.7	2.7	1.3	1.4	-1.9	0.8	0.6	1.4	-12.8	16.8
2015-02	-7.1	-1.1	22.8	4.8	1.8	2.9	-2.9	1.9	0.7	2.5	-15.1	25.9
2016-01	-3.2	1.3	22.6	-3.8	0.5	-4.3	0.8	-3	-0.3	-3.3	-4.2	-17.8
2016-02	-1.4	0.1	19.6	-0	0.9	-1	-0.9	-0.9	0.1	-0.8	-9.4	1.5
2017-01	-1.4	0.1	18.6	0.6	0.9	-0.3	-0.8	-0.2	0.2	-0.1	-9.1	1.5
2017-02	-1.2	0	18.5	0.2	0.7	-0.5	-0.6	-0.5	0.2	-0.2	-7.1	-0
2018-01	-3.8	-0.3	19.5	3.1	0.7	2.4	-0.9	2.2	0.3	2.5	-6.8	16.6
2018-02	-3.8	0	21.5	0.4	0.7	-0.3	-0.6	-0.3	0.4	0.1	-6.2	0.5
2019-01	-3.7	0.1	20.9	0.4	0.6	-0.2	-0.5	-0.1	0.3	0.2	-5.6	-1.1
